House Index,Address,Price,County,Room,Approx price per room
"1. Apartment 12-09, The Arc, 2K Queens Road, Belfast, Belfast City Centre, Belfast, Co. Antrim - Apa","Apartment 12-09, The Arc, 2K Queens Road, Belfast, Belfast City Centre, Belfast, Co. Antrim",850970, Co. Antrim,2,425485.00
"1. Glynn, St. Mullins, Co. Carlow - Apa","Glynn, St. Mullins, Co. Carlow",700, Co. Carlow,4,175.00
"2. Ferry Bank, Graiguecullen, Co. Carlow - Apa","Ferry Bank, Graiguecullen, Co. Carlow",850, Co. Carlow,2,425.00
"3. Dublin Street, Carlow Town, Co. Carlow - Apa","Dublin Street, Carlow Town, Co. Carlow",850, Co. Carlow,3,283.33
"4. Riverdell, Haymarket, Carlow Town, Co. Carlow - Apa","Riverdell, Haymarket, Carlow Town, Co. Carlow",825, Co. Carlow,2,412.50
"5. Centaur House, Carlow Town, Co. Carlow - Apa","Centaur House, Carlow Town, Co. Carlow",950, Co. Carlow,2,475.00
"6. phelim crescent, Tullow, Co. Carlow - Apa","phelim crescent, Tullow, Co. Carlow",800, Co. Carlow,3,266.67
"7. Barrow Mews, Carlow Town, Co. Carlow - Apa","Barrow Mews, Carlow Town, Co. Carlow",750, Co. Carlow,1,750.00
"1. No. 10 Eaglewood, Belturbet, Co. Cavan - Apa","No. 10 Eaglewood, Belturbet, Co. Cavan",550, Co. Cavan,2,275.00
"2. Apt. 31 Railway Lough, Belturbet, Co. Cavan - Apa","Apt. 31 Railway Lough, Belturbet, Co. Cavan",450, Co. Cavan,1,450.00
"3. 13 Headford Grove, Virginia, Co. Cavan - Apa","13 Headford Grove, Virginia, Co. Cavan",800, Co. Cavan,3,266.67
"4. Lakelands, Virginia, Co. Cavan - Apa","Lakelands, Virginia, Co. Cavan",750, Co. Cavan,2,375.00
"5. Rivercrescent, Virginia, Co. Cavan - Apa","Rivercrescent, Virginia, Co. Cavan",550, Co. Cavan,1,550.00
"6. Main Street, Cavan, Co. Cavan - Apa","Main Street, Cavan, Co. Cavan",550, Co. Cavan,1,550.00
"7. Stramatt, Lisduff, Virginia, Co. Cavan - Apa","Stramatt, Lisduff, Virginia, Co. Cavan",900, Co. Cavan,3,300.00
"8. Deerpark, Virginia, Co. Cavan - Apa","Deerpark, Virginia, Co. Cavan",700, Co. Cavan,3,233.33
"9. Russell Quay, Ballyconnell, Co. Cavan, Ballyconnell, Co. Cavan - Apa","Russell Quay, Ballyconnell, Co. Cavan, Ballyconnell, Co. Cavan",685, Co. Cavan,2,342.50
"10. blacklion, Blacklion, Co. Cavan - Apar","blacklion, Blacklion, Co. Cavan",450, Co. Cavan,2,225.00
"11. Apt 7 Woodford View, Ballyconnell, Co. Cavan - Apar","Apt 7 Woodford View, Ballyconnell, Co. Cavan",550, Co. Cavan,2,275.00
"12. 2 Annalee Drive, Ballyhaise Cavan, Ballyhaise, Co. Cavan - Apar","2 Annalee Drive, Ballyhaise Cavan, Ballyhaise, Co. Cavan",600, Co. Cavan,2,300.00
"13. Poles, Cavan, Co. Cavan - Apar","Poles, Cavan, Co. Cavan",950, Co. Cavan,1,950.00
"1. Cuirt Na HEaglaise, Newmarket on Fergus, Co. Clare - Apa","Cuirt Na HEaglaise, Newmarket on Fergus, Co. Clare",800, Co. Clare,2,400.00
"2. Woodbrook, Newmarket on Fergus, Co. Clare - Apa","Woodbrook, Newmarket on Fergus, Co. Clare",650, Co. Clare,1,650.00
"3. Boheraroan, Newmarket on Fergus, Co. Clare - Apa","Boheraroan, Newmarket on Fergus, Co. Clare",800, Co. Clare,2,400.00
"4. 135 Bru na Sionna, Shannon, Co. Clare - Apa","135 Bru na Sionna, Shannon, Co. Clare",825, Co. Clare,2,412.50
"5. 10 Ros na Greine, Shannon, Co. Clare - Apa","10 Ros na Greine, Shannon, Co. Clare",1200, Co. Clare,5,240.00
"6. Merchants Quay, Kilrush, Co. Clare - Apa","Merchants Quay, Kilrush, Co. Clare",700, Co. Clare,2,350.00
"7. Riverwood Retirement village, Kilrush, Co. Clare - Apa","Riverwood Retirement village, Kilrush, Co. Clare",650, Co. Clare,1,650.00
"8. Bruagh Na Habhann, Quinn road, Ennis, Co. Clare - Apa","Bruagh Na Habhann, Quinn road, Ennis, Co. Clare",825, Co. Clare,2,412.50
"9. 1 Maple house Drumgeely, Shannon, Co. Clare - Apa","1 Maple house Drumgeely, Shannon, Co. Clare",700, Co. Clare,2,350.00
"10. Lahinch Road, Ennistymon, Ennistymon, Co. Clare - Apar","Lahinch Road, Ennistymon, Ennistymon, Co. Clare",600, Co. Clare,2,300.00
"11. Salthouse Lane, Ennis, Co. Clare - Apar","Salthouse Lane, Ennis, Co. Clare",800, Co. Clare,2,400.00
"12. Boheroan, Newmarket on Fergus, Co. Clare - Apar","Boheroan, Newmarket on Fergus, Co. Clare",800, Co. Clare,2,400.00
"13. Moore Street, Kilrush, Co. Clare - Apar","Moore Street, Kilrush, Co. Clare",400, Co. Clare,1,400.00
"14. Apartment 1, Garna House Retail Centre, Sixmilebridge, Co. Clare - Apar","Apartment 1, Garna House Retail Centre, Sixmilebridge, Co. Clare",800, Co. Clare,3,266.67
"15. 3 Merchant's Quay, Kilrush, Co. Clare - Apar","3 Merchant's Quay, Kilrush, Co. Clare",360, Co. Clare,1,360.00
"1. South Douglas Road, Cork City, Co. Cork - Apa","South Douglas Road, Cork City, Co. Cork",1440, Co. Cork,2,720.00
"2. Orchard Court, Victoria Cross, Victoria Cross, Co. Cork - Apa","Orchard Court, Victoria Cross, Victoria Cross, Co. Cork",1373, Co. Cork,2,686.50
"3. 24 Ronayns Court, Rochestown Road, Douglas, Co. Cork - Apa","24 Ronayns Court, Rochestown Road, Douglas, Co. Cork",1500, Co. Cork,2,750.00
"4. Douglas House, Douglas, Co. Cork - Apa","Douglas House, Douglas, Co. Cork",1400, Co. Cork,2,700.00
"5. 24 Rivergold, Lavitts Quay, Cork City, Co. Cork - Apa","24 Rivergold, Lavitts Quay, Cork City, Co. Cork",1350, Co. Cork,1,1350.00
"6. Camden Court , Carolls Quay , Cork ., Cork City, Co. Cork - Apa","Camden Court , Carolls Quay , Cork ., Cork City, Co. Cork",1600, Co. Cork,2,800.00
"7. Eagle Valley, Wilton, Co. Cork - Apa","Eagle Valley, Wilton, Co. Cork",1500, Co. Cork,4,375.00
"8. River Towers, Lee Road, Cork City, Co. Cork - Apa","River Towers, Lee Road, Cork City, Co. Cork",2550, Co. Cork,1,2550.00
"9. The Coach House, Belvidere Farm, ballycurreen, Farmers Cross, Co. Cork - Apa","The Coach House, Belvidere Farm, ballycurreen, Farmers Cross, Co. Cork",1200, Co. Cork,2,600.00
"10. South Terrace, Cork City, Co. Cork - Apar","South Terrace, Cork City, Co. Cork",1250, Co. Cork,1,1250.00
"11. 11 Blackrock Grove, Eden, Blackrock, Co. Cork - Apar","11 Blackrock Grove, Eden, Blackrock, Co. Cork",1400, Co. Cork,2,700.00
"12. 48 Mill House, Mill Road, Midleton, Co. Cork - Apar","48 Mill House, Mill Road, Midleton, Co. Cork",1150, Co. Cork,2,575.00
"13. Cloghroe House, Ballincollig, Co. Cork - Apar","Cloghroe House, Ballincollig, Co. Cork",825, Co. Cork,1,825.00
"14. Corrin Court, Cork Road, Fermoy, Co. Cork - Apar","Corrin Court, Cork Road, Fermoy, Co. Cork",795, Co. Cork,2,397.50
"15. Blarney Street, Cork City, Co. Cork - Apar","Blarney Street, Cork City, Co. Cork",1260, Co. Cork,2,630.00
"16. Kingsbridge, South Douglas Road, Douglas, Co. Cork - Apar","Kingsbridge, South Douglas Road, Douglas, Co. Cork",1440, Co. Cork,2,720.00
"17. Granary Hall, Mount Oval, Rochestown, Co. Cork - Apar","Granary Hall, Mount Oval, Rochestown, Co. Cork",1350, Co. Cork,2,675.00
"18. Tivoli Woods, Tivoli, Co. Cork - Apar","Tivoli Woods, Tivoli, Co. Cork",1050, Co. Cork,2,525.00
"19. Maryborough Ridge, Douglas, Co. Cork - Apar","Maryborough Ridge, Douglas, Co. Cork",1620, Co. Cork,3,540.00
"20. The Crescent, Cork City, Co. Cork - Apar","The Crescent, Cork City, Co. Cork",1305, Co. Cork,2,652.50
"1. 2 Railway Court, Pearse Road, Letterkenny, Co. Donegal - Apa","2 Railway Court, Pearse Road, Letterkenny, Co. Donegal",650, Co. Donegal,2,325.00
"2. Apt 4, Main St, St. Johnston, Co. Donegal - Apa","Apt 4, Main St, St. Johnston, Co. Donegal",390, Co. Donegal,1,390.00
"3. 21 Quayside Apartments, Ramelton, Co. Donegal - Apa","21 Quayside Apartments, Ramelton, Co. Donegal",850, Co. Donegal,3,283.33
"4. 18 The Fort, Greencastle, Co. Donegal - Apa","18 The Fort, Greencastle, Co. Donegal",750, Co. Donegal,3,250.00
"5. 49 Grand Central Apartments, Letterkenny, Co. Donegal - Apa","49 Grand Central Apartments, Letterkenny, Co. Donegal",650, Co. Donegal,2,325.00
"6. Trentaboy, Drumkeen, Co. Donegal - Apa","Trentaboy, Drumkeen, Co. Donegal",600, Co. Donegal,1,600.00
"7. Apt 1 86 Upper Main street, Letterkenny, Co. Donegal - Apa","Apt 1 86 Upper Main street, Letterkenny, Co. Donegal",600, Co. Donegal,2,300.00
"8. 14 Glenveagh Court, Letterkenny, Co. Donegal - Apa","14 Glenveagh Court, Letterkenny, Co. Donegal",800, Co. Donegal,3,266.67
"9. The Maples, Lismonaghan, Letterkenny, Co. Donegal - Apa","The Maples, Lismonaghan, Letterkenny, Co. Donegal",565, Co. Donegal,1,565.00
"10. Apt 7 The Gallery, Navenny Street, Ballybofey, Co. Donegal - Apar","Apt 7 The Gallery, Navenny Street, Ballybofey, Co. Donegal",520, Co. Donegal,2,260.00
"11. 31 Cill Greine, Letterkenny, Co. Donegal - Apar","31 Cill Greine, Letterkenny, Co. Donegal",600, Co. Donegal,2,300.00
"12. Aras Patrick Kavanagh, Letterkenny, Co. Donegal - Apar","Aras Patrick Kavanagh, Letterkenny, Co. Donegal",845, Co. Donegal,1,845.00
"13. 6 Church Lane Apt, Letterkenny, Co. Donegal - Apar","6 Church Lane Apt, Letterkenny, Co. Donegal",650, Co. Donegal,2,325.00
"14. riverside, Letterkenny, Co. Donegal - Apar","riverside, Letterkenny, Co. Donegal",520, Co. Donegal,2,260.00
"15. St Annes Court, Letterkenny, Co. Donegal - Apar","St Annes Court, Letterkenny, Co. Donegal",550, Co. Donegal,2,275.00
"16. Ardmore Court, Upper Main Street, Ballyshannon, Co. Donegal - Apar","Ardmore Court, Upper Main Street, Ballyshannon, Co. Donegal",550, Co. Donegal,2,275.00
"17. 1 Bakers Court, Ballyshannon, Co. Donegal - Apar","1 Bakers Court, Ballyshannon, Co. Donegal",550, Co. Donegal,2,275.00
"18. Apt 2 William Street, Raphoe, Co. Donegal - Apar","Apt 2 William Street, Raphoe, Co. Donegal",320, Co. Donegal,1,320.00
"19. Riverside View, Letterkenny, Co. Donegal - Apar","Riverside View, Letterkenny, Co. Donegal",440, Co. Donegal,2,220.00
"20. The Barn, Killylastin, Letterkenny, Co. Donegal - Apar","The Barn, Killylastin, Letterkenny, Co. Donegal",500, Co. Donegal,1,500.00
"1. 7 Carlinn's Cove, Rostrevor, Co. Down - Apa","7 Carlinn's Cove, Rostrevor, Co. Down",700799, Co. Down,3,233599.67
"1. 20 Belfield Park, Stillorgan, Co. Dublin - Apa","20 Belfield Park, Stillorgan, Co. Dublin",2100, Co. Dublin,2,1050.00
