House,Price,County
"1. Apartment 12-09, The Arc, 2K Queens Road, Belfast, Belfast City Centre, Belfast, Co. Antrim",850970, Co. Antrim
"1. Barrow Mews, Carlow Town, Co. Carlow",750, Co. Carlow
"2. Glynn, St. Mullins, Co. Carlow",700, Co. Carlow
"3. Potato Market, Carlow Town, Co. Carlow",700, Co. Carlow
"4. 7 Chaff Street, Graiguecullen, Carlow Town, Co. Carlow",900, Co. Carlow
"1. Poles, Cavan, Co. Cavan",950, Co. Cavan
"2. Russell Quay, Ballyconnell, Co. Cavan, Ballyconnell, Co. Cavan",685, Co. Cavan
"3. Stramatt, Lisduff, Virginia, Co. Cavan",900, Co. Cavan
"4. Apt 7 Woodford View, Ballyconnell, Co. Cavan",550, Co. Cavan
"5. 2 Annalee Drive, Ballyhaise Cavan, Ballyhaise, Co. Cavan",600, Co. Cavan
"6. 13 Headford Grove, Virginia, Co. Cavan",800, Co. Cavan
"7. No. 16 The Courtyard, Belturbet, Co. Cavan",450, Co. Cavan
"8. Catherdal Road, Cavan, Cavan, Co. Cavan",600, Co. Cavan
"9. Cluain Aoibhinn Court, Swellan, Cavan, Co. Cavan",600, Co. Cavan
"10. Apartment 25 Canal Bank Walk, Castleforde Ballycon, Ballyconnell, Co. Cavan",600, Co. Cavan
"11. Co Cavan, Lough Gowna, Co. Cavan",500, Co. Cavan
"1. Apartment 2, Block E, Harbour Village, Killaloe, Co. Clare",850, Co. Clare
"2. 1 Maple house Drumgeely, Shannon, Co. Clare",700, Co. Clare
"3. Boheraroan, Newmarket on Fergus, Co. Clare",800, Co. Clare
"4. Cuirt Na HEaglaise, Newmarket on Fergus, Co. Clare",800, Co. Clare
"5. 156 Bru na Sionna, Shannon, Co. Clare",1000, Co. Clare
"6. Lahinch Road, Ennistymon, Ennistymon, Co. Clare",600, Co. Clare
"7. Salthouse Lane, Ennis, Co. Clare",800, Co. Clare
"8. Town court, Shannon, Co. Clare",600, Co. Clare
"9. Boheroan, Newmarket on Fergus, Co. Clare",800, Co. Clare
"10. Inis Chlair, Clarecastle, Co. Clare",850, Co. Clare
"11. Merchants Quay, Kilrush, Co. Clare",700, Co. Clare
"12. Riverwood Retirement village, Kilrush, Co. Clare",650, Co. Clare
"13. Moore Street, Kilrush, Co. Clare",400, Co. Clare
"14. Apartment 1, Garna House Retail Centre, Sixmilebridge, Co. Clare",800, Co. Clare
"15. 3 Merchant\'s Quay, Kilrush, Co. Clare",360, Co. Clare
"1. Eagle Valley, Wilton, Co. Cork",1500, Co. Cork
"2. River Towers, Lee Road, Cork City, Co. Cork",2550, Co. Cork
"3. Coolroe, Ballincollig, Co. Cork",1400, Co. Cork
"4. The Coach House, Belvidere Farm, ballycurreen, Farmers Cross, Co. Cork",1200, Co. Cork
"5. Coach House, Belvidere, Farmers Cross, Co. Cork",900, Co. Cork
"6. Ballyleary Rd, Newtown, Cobh, Co. Cork",900, Co. Cork
"7. Pier Road, Kinsale, Co. Cork",1100, Co. Cork
"8. Ballyvorisheen West, Carrignavar, Co. Cork",900, Co. Cork
"9. Welwyn road, Maryborough woods, Douglas, Co. Cork",1300, Co. Cork
"10. 67A Main St, Kinsale, Co. Cork",1900, Co. Cork
"11. 3 Manhattan Apartments Lower O Connell St, Kinsale, Co. Cork",1200, Co. Cork
"12. Alfred Street, Cork City, Co. Cork",1456, Co. Cork
"13. Tivoli Woods, Tivoli, Co. Cork",1050, Co. Cork
"14. Maryborough Ridge, Douglas, Co. Cork",1620, Co. Cork
"15. Washington Street, Cork City, Co. Cork",864, Co. Cork
"16. Main St, Watergrasshill, Co. Cork",2500, Co. Cork
"17. The Cloisters, Douglas, Co. Cork",1500, Co. Cork
"18. The Cloisters, Douglas, Co. Cork",1100, Co. Cork
"19. Lee Road, Cork City, Co. Cork",1300, Co. Cork
"20. Victoria Cross, Victoria Cross, Co. Cork",2600, Co. Cork
"21. Cork City Centre, Cork City, Co. Cork",1903, Co. Cork
"22. South Douglas Road, Cork City, Co. Cork",1440, Co. Cork
"23. Garraha, Kinsale, Co. Cork",1200, Co. Cork
"24. 44 Camden Court, Carrol's Quay, Cork City, Co. Cork",1500, Co. Cork
"25. Apartment 612, The Kingfisher, Jacobs Island, Ballinure, Co. Cork",1248, Co. Cork
"26. Cois Na hAbhann, Bailick Road, Midleton, Co. Cork",1200, Co. Cork
"27. An Radharc, Maryborough Ridge, Maryborough Hill, Douglas, Co. Cork",1575, Co. Cork
