House,Price,County,Room
"1. Rathana, Borris, Co. Carlow",1250, Co. Carlow,5 
"2. Lime Grove, Palatine, Carlow, Carlow Town, Co. Carlow",950, Co. Carlow,3 
"3. Mountgara, Carlow Town, Co. Carlow",1300, Co. Carlow,4 
"4. The vale, graigcullen, Carlow Town, Co. Carlow",1000, Co. Carlow,3 
"5. Moanduff, Oldleighlin, Co. Carlow",950, Co. Carlow,4 
"6. Askea Court, O'Brien Road, Carlow Town, Co. Carlow",850, Co. Carlow,2 
"7. Hunters Green, Pollerton, Carlow Town, Co. Carlow",1100, Co. Carlow,3 
"8. The Fairways 15, Pollerton, Co. Carlow",1050, Co. Carlow,3 
"9. 22 Grange Court, Pollerton, Carlow, Carlow Town, Co. Carlow",900, Co. Carlow,3 
"10. Heather Hill, Graiguecullen, Co. Carlow",1100, Co. Carlow,4 
"11. 140 ROCHFORT MANOR, Carlow Town, Co. Carlow",1100, Co. Carlow,4 
"12. 3A Oakview, Athy Road, Carlow Town, Co. Carlow",400, Co. Carlow,4 
"13. The Stables, Dranagh, St. Mullins, Co. Carlow",550, Co. Carlow,
"14. Longwood, Bennekerry, Carlow Town, Co. Carlow",1500, Co. Carlow,4 
"1. Kingscourt, Kingscourt, Co. Cavan",1200, Co. Cavan,6 
"2. 24 Parkview, Ballyjamesduff, Co. Cavan",900, Co. Cavan,5 
"3. Rampart View, Virginia, Co. Cavan",900, Co. Cavan,4 
"4. Rockcross, Cavan, Co. Cavan",700, Co. Cavan,4 
"5. woodview, Bailieborough, Co. Cavan",675, Co. Cavan,3
"6. 12 Waterfern Avenue, Cavan, Co. Cavan",750, Co. Cavan,3 
"7. The Hawthorns, Bailieborough, Co. Cavan",975, Co. Cavan,3 
"8. 53 pairc an dun, Cavan, Co. Cavan",850, Co. Cavan,4 
"9. 41 Willow Ridge, Gortnakesh, Cavan, Co. Cavan",750, Co. Cavan,3 
"10. 26 Henry St. Bailieborough, Co. Cavan, Bailieborough, Co. Cavan",600, Co. Cavan,2 
"11. 9 Fort Village, Gortnakesh, Cavan, Co. Cavan",750, Co. Cavan,3 
"12. belturbet cavan, Belturbet, Co. Cavan",800, Co. Cavan,4 
"13. Crossdoney Rd, Ballinagh, Co. Cavan",650, Co. Cavan,3 
"14. Clements town, Cootehill, Co. Cavan",685, Co. Cavan,3 
"15. 56 daisyhill manor, Ballyconnell, Co. Cavan",695, Co. Cavan,3 
"16. No 10 Cockhill View, Cavan, Co. Cavan",750, Co. Cavan,5 
"17. Ardkeen, Cavan, Co. Cavan",750, Co. Cavan,3 
