Apartment Index,Address,Price,County,Room,Approx price per room
1,"Apartment 12-09, The Arc, 2K Queens Road, Belfast, Belfast City Centre, Belfast, Co. Antrim",850970, Co. Antrim,2,425485.00
1,"11 Rivercourt, Bagenalstown, Co. Carlow",800, Co. Carlow,3,266.67
2,"Glynn, St. Mullins, Co. Carlow",700, Co. Carlow,4,175.00
3,"Ferry Bank, Graiguecullen, Co. Carlow",850, Co. Carlow,2,425.00
4,"Dublin Street, Carlow Town, Co. Carlow",850, Co. Carlow,3,283.33
5,"Riverdell, Haymarket, Carlow Town, Co. Carlow",825, Co. Carlow,2,412.50
6,"Centaur House, Carlow Town, Co. Carlow",950, Co. Carlow,2,475.00
7,"phelim crescent, Tullow, Co. Carlow",800, Co. Carlow,3,266.67
1,"13 Headford Grove, Virginia, Co. Cavan",800, Co. Cavan,3,266.67
2,"Lakelands, Virginia, Co. Cavan",750, Co. Cavan,2,375.00
3,"Rivercrescent, Virginia, Co. Cavan",550, Co. Cavan,1,550.00
4,"No. 10 Eaglewood, Belturbet, Co. Cavan",550, Co. Cavan,2,275.00
5,"Apt. 31 Railway Lough, Belturbet, Co. Cavan",450, Co. Cavan,1,450.00
6,"Main Street, Cavan, Co. Cavan",550, Co. Cavan,1,550.00
7,"Stramatt, Lisduff, Virginia, Co. Cavan",900, Co. Cavan,3,300.00
8,"Deerpark, Virginia, Co. Cavan",700, Co. Cavan,3,233.33
9,"Russell Quay, Ballyconnell, Co. Cavan, Ballyconnell, Co. Cavan",685, Co. Cavan,2,342.50
10,"blacklion, Blacklion, Co. Cavan",450, Co. Cavan,2,225.00
11,"Apt 7 Woodford View, Ballyconnell, Co. Cavan",550, Co. Cavan,2,275.00
12,"2 Annalee Drive, Ballyhaise Cavan, Ballyhaise, Co. Cavan",600, Co. Cavan,2,300.00
13,"Poles, Cavan, Co. Cavan",950, Co. Cavan,1,950.00
1,"Cuirt Na HEaglaise, Newmarket on Fergus, Co. Clare",800, Co. Clare,2,400.00
2,"Woodbrook, Newmarket on Fergus, Co. Clare",650, Co. Clare,1,650.00
3,"Boheraroan, Newmarket on Fergus, Co. Clare",800, Co. Clare,2,400.00
4,"135 Bru na Sionna, Shannon, Co. Clare",825, Co. Clare,2,412.50
5,"10 Ros na Greine, Shannon, Co. Clare",1200, Co. Clare,5,240.00
6,"Merchants Quay, Kilrush, Co. Clare",700, Co. Clare,2,350.00
7,"Riverwood Retirement village, Kilrush, Co. Clare",650, Co. Clare,1,650.00
8,"Bruagh Na Habhann, Quinn road, Ennis, Co. Clare",825, Co. Clare,2,412.50
9,"1 Maple house Drumgeely, Shannon, Co. Clare",700, Co. Clare,2,350.00
10,"Salthouse Lane, Ennis, Co. Clare",800, Co. Clare,2,400.00
11,"Boheroan, Newmarket on Fergus, Co. Clare",800, Co. Clare,2,400.00
12,"Moore Street, Kilrush, Co. Clare",400, Co. Clare,1,400.00
13,"Apartment 1, Garna House Retail Centre, Sixmilebridge, Co. Clare",800, Co. Clare,3,266.67
14,"3 Merchant's Quay, Kilrush, Co. Clare",360, Co. Clare,1,360.00
1,"South Douglas Road, Cork City, Co. Cork",1440, Co. Cork,2,720.00
2,"24 Ronayns Court, Rochestown Road, Douglas, Co. Cork",1500, Co. Cork,2,750.00
3,"Orchard Court, Victoria Cross, Victoria Cross, Co. Cork",1373, Co. Cork,2,686.50
4,"Douglas House, Douglas, Co. Cork",1400, Co. Cork,2,700.00
5,"Camden Court , Carolls Quay , Cork ., Cork City, Co. Cork",1600, Co. Cork,2,800.00
6,"Eagle Valley, Wilton, Co. Cork",1500, Co. Cork,4,375.00
7,"River Towers, Lee Road, Cork City, Co. Cork",2550, Co. Cork,1,2550.00
8,"Ivy court, Broomfield Village, Midleton, Co. Cork",1200, Co. Cork,2,600.00
9,"Riverside Hall, Watergate Street, Bandon, Bandon, Co. Cork",950, Co. Cork,2,475.00
