House,Price,County
"1. Apartment 12-09, The Arc, 2K Queens Road, Belfast, Belfast City Centre, Belfast, Co. Antrim",850970, Co. Antrim
"1. Glynn, St. Mullins, Co. Carlow",700, Co. Carlow
"2. Potato Market, Carlow Town, Co. Carlow",700, Co. Carlow
"3. 7 Chaff Street, Graiguecullen, Carlow Town, Co. Carlow",900, Co. Carlow
"4. Barrow Mews, Carlow Town, Co. Carlow",750, Co. Carlow
"5. Riverdell, Haymarket, Carlow Town, Co. Carlow",900, Co. Carlow
"1. 13 Headford Grove, Virginia, Co. Cavan",800, Co. Cavan
"2. Church Street, Cavan, Co. Cavan",750, Co. Cavan
"3. Catherdal Road, Cavan, Cavan, Co. Cavan",600, Co. Cavan
"4. Cluain Aoibhinn Court, Swellan, Cavan, Co. Cavan",600, Co. Cavan
"5. 2 Annalee Drive, Ballyhaise Cavan, Ballyhaise, Co. Cavan",600, Co. Cavan
"6. Russell Quay, Ballyconnell, Co. Cavan, Ballyconnell, Co. Cavan",685, Co. Cavan
"7. Apartment 25 Canal Bank Walk, Castleforde Ballycon, Ballyconnell, Co. Cavan",600, Co. Cavan
"8. Co Cavan, Lough Gowna, Co. Cavan",500, Co. Cavan
"9. Stramatt, Lisduff, Virginia, Co. Cavan",900, Co. Cavan
"10. The Plaza College Street, Cavan, Co. Cavan",700, Co. Cavan
"11. Apartment NO 3, Gortoolan Ballyconnell Co Cavan, Ballyconnell, Co. Cavan",400, Co. Cavan
"12. Arasain Pheadair Bawnboy, Ballyconnell, Co. Cavan",500, Co. Cavan
"13. Apt 5, The Elms, Woodford Meadows, Ballyconnell, Co. Cavan",550, Co. Cavan
"1. Town court, Shannon, Co. Clare",600, Co. Clare
"2. Boheroan, Newmarket on Fergus, Co. Clare",800, Co. Clare
"3. Inis Chlair, Clarecastle, Co. Clare",850, Co. Clare
"4. Merchants Quay, Kilrush, Co. Clare",700, Co. Clare
"5. Cuirt Na HEaglaise, Newmarket on Fergus, Co. Clare",800, Co. Clare
"6. Boheraroan, Newmarket on Fergus, Co. Clare",800, Co. Clare
"7. Bruagh Na Habhann, Quinn road, Ennis, Co. Clare",825, Co. Clare
"8. 156 Bru na Sionna, Shannon, Co. Clare",1000, Co. Clare
"9. Salthouse Lane, Ennis, Co. Clare",800, Co. Clare
"10. Riverwood Retirement village, Kilrush, Co. Clare",650, Co. Clare
"11. Moore Street, Kilrush, Co. Clare",400, Co. Clare
"12. Apartment 1, Garna House Retail Centre, Sixmilebridge, Co. Clare",800, Co. Clare
"13. CUIRT an FHILE, ROSLEVAN, Ennis, Co. Clare",750, Co. Clare
"14. Lahinch Road, Ennistymon, Ennistymon, Co. Clare",600, Co. Clare
"15. 3 Merchant\'s Quay, Kilrush, Co. Clare",360, Co. Clare
"1. Conna Co Cork, Conna, Co. Cork",750, Co. Cork
"2. Roxboro Close, The Rock, Midleton, Co. Cork",1150, Co. Cork
"3. Woodville, Rochestown, Co. Cork",1200, Co. Cork
"4. Black Quay, Hollyhill, Kinsale, Co. Cork",1165, Co. Cork
"5. Pembroke Grove, Passage West, Co. Cork",1400, Co. Cork
"6. The Oaks, Wentworth Gardens, Bishopstown, Co. Cork",1252, Co. Cork
"7. Liosbourne, Carrigaline, Co. Cork",775, Co. Cork
"8. Orchard Court, Orchard Road, Victoria Cross, Co. Cork",1400, Co. Cork
"9. 37 Downview, Faranlea Road, Cork City, Victoria Cross, Co. Cork",2600, Co. Cork
"10. Glanmire Village, Glanmire, Co. Cork",1200, Co. Cork
"11. Rutland Place, South Terrace, Cork City, Co. Cork",1400, Co. Cork
"12. Fernwood Court, Glanmire, Co. Cork",1250, Co. Cork
"13. River Wharf, Mill Road, Midleton, Co. Cork",1250, Co. Cork
"14. Church St Dromcollogher, Charleville, Co. Cork",240, Co. Cork
"15. Watergold, Douglas, Co. Cork",1750, Co. Cork
"16. 22 Granary Hall, Mount Oval Village, Rochestown, Co. Cork",1300, Co. Cork
"17. Desmond Court, Cork Street, Kinsale, Co. Cork",850, Co. Cork
"18. 25 mill race, mill road, Midleton, Co. Cork",1050, Co. Cork
"19. The Elysian, Eglinton Street, Cork City, Co. Cork",3500, Co. Cork
"20. The Elysian, Eglinton Street, Cork City, Co. Cork",3170, Co. Cork
"21. Kilnaglory, Ballincollig, Co. Cork",950, Co. Cork
"22. Ballyleary Rd, Newtown, Cobh, Co. Cork",900, Co. Cork
"23. Patrick's Hill, Cork City, Co. Cork",1352, Co. Cork
"24. Corrin Court, Cork Road, Fermoy, Co. Cork",795, Co. Cork
"25. No. 3 Egmont Court, Earl Street, Kanturk, Co. Cork, Kanturk, Co. Cork",700, Co. Cork
"26. Kilominogue Innishannon, Kinsale, Co. Cork",650, Co. Cork
"27. 67A Main St, Kinsale, Co. Cork",1900, Co. Cork
"28. 3 Manhattan Apartments Lower O Connell St, Kinsale, Co. Cork",1200, Co. Cork
"29. Quartertown,Mallow,Co.Cork, Mallow, Co. Cork",550, Co. Cork
"30. Quay, Main st, Skibbereen, Co. Cork",775, Co. Cork
"31. North St, Skibbereen, Co. Cork",650, Co. Cork
"32. Lee Road, Cork City, Co. Cork",1300, Co. Cork
"33. The Cloisters, Douglas, Co. Cork",1500, Co. Cork
"34. Farranlea road, Cork City, Co. Cork",2800, Co. Cork
"35. Maryborough Ridge, Douglas, Co. Cork",1620, Co. Cork
"36. Washington Street, Cork City, Co. Cork",864, Co. Cork
"37. Main St, Watergrasshill, Co. Cork",2500, Co. Cork
"38. Cork City Centre, Cork City, Co. Cork",1230, Co. Cork
"39. The Cloisters, Douglas, Co. Cork",1100, Co. Cork
"40. Alfred Street, Cork City, Co. Cork",1456, Co. Cork
"41. Cork City Centre, Cork City, Co. Cork",1903, Co. Cork
"42. Old Quarry, Ballincollig, Co. Cork",1350, Co. Cork
"43. The Grand, Crosshaven, Co. Cork",1450, Co. Cork
"44. The Kingfisher, Jacob\'s Island, Ballinure, Co. Cork",1395, Co. Cork
"45. Lisin, Sunday's Well, Co. Cork",1735, Co. Cork
"46. 5 The Arches, Halfway Village, Ballinhassig, Co. Cork",1100, Co. Cork
"47. Ivy Court, Broomfield Village, Midleton, Co. Cork",1100, Co. Cork
