House,Price,County,Room,Approx price per room
"1. Rathana, Borris, Co. Carlow",1100, Co. Carlow,"House to Rent|
5 Beds|
3 Baths"
"2. Heatherhill road, Graiguecullen, Co. Carlow",1100, Co. Carlow,"House to Rent|
3 Beds|
3 Baths"
"3. Newton Place, Bachelors' Walk, Bagenalstown, Co. Carlow",995, Co. Carlow,"House to Rent|
2 Beds|
2 Baths"
"4. Milltown, Garryhilll, Garryhill, Co. Carlow",1300, Co. Carlow,"House to Rent|
4 Beds|
2 Baths"
"5. Clonagoose, Borris, Co. Carlow",800, Co. Carlow,"House to Rent|
3 Beds|
1 Bath"
"6. The Stables, Dranagh, St. Mullins, Co. Carlow",550, Co. Carlow,"House to Rent|
1 Bed|
1 Bath"
"7. Lime Grove, Palatine, Carlow, Carlow Town, Co. Carlow",950, Co. Carlow,"House to Rent|
3 Beds|
2 Baths"
"8. 1 John Street R93v262, Graiguecullen, Co. Carlow",550, Co. Carlow,"House to Rent|
1 Bed|
2 Baths"
"9. Browneshill, Carlow Town, Co. Carlow",900, Co. Carlow,"House to Rent|
2 Beds|
2 Baths"
"10. Garryhill, Garryhill, Co. Carlow",1200, Co. Carlow,"House to Rent|
3 Beds|
3 Baths"
"11. Gilbertstown Rathoe, Rathoe, Co. Carlow",320, Co. Carlow,"House to Rent|
3 Beds|
3 Baths"
"12. Brotherton, Graiguecullen, Co. Carlow",1100, Co. Carlow,"House to Rent|
3 Beds|
3 Baths"
"13. 20 Mount Clare Court, Graiguecullen, Co. Carlow",1100, Co. Carlow,"House to Rent|
3 Beds|
2 Baths"
"14. Askea Court, O'Brien Road, Carlow Town, Co. Carlow",850, Co. Carlow,"House to Rent|
2 Beds|
2 Baths"
"15. Moanduff, Oldleighlin, Co. Carlow",950, Co. Carlow,"House to Rent|
4 Beds|
2 Baths"
"16. Hunters Green, Pollerton, Carlow Town, Co. Carlow",1100, Co. Carlow,"House to Rent|
3 Beds|
2 Baths"
"17. Dolmen Gardens, Pollerton, Co. Carlow",1200, Co. Carlow,"House to Rent|
4 Beds|
2 Baths"
"18. 140 ROCHFORT MANOR, Carlow Town, Co. Carlow",1100, Co. Carlow,"House to Rent|
4 Beds|
3 Baths"
"19. Coolkenno, Tullow, Co. Carlow",800, Co. Carlow,"House to Rent|
8 Beds|
1 Bath"
"20. The vale, graigcullen, Carlow Town, Co. Carlow",1000, Co. Carlow,"House to Rent|
3 Beds|
3 Baths"
