House,Price,County,Room
"1. Rathana, Borris, Co. Carlow",1250, Co. Carlow,5 
"2. Milford Park, Ballinabranagh, Co. Carlow",1200, Co. Carlow,4 
"3. Coolkenno, Tullow, Co. Carlow",800, Co. Carlow,8
"4. Lime Grove, Palatine, Carlow, Carlow Town, Co. Carlow",950, Co. Carlow,3 
"5. Mountgara, Carlow Town, Co. Carlow",1300, Co. Carlow,4 
"6. The vale, graigcullen, Carlow Town, Co. Carlow",1000, Co. Carlow,3 
"7. Moanduff, Oldleighlin, Co. Carlow",950, Co. Carlow,4 
"8. Askea Court, O'Brien Road, Carlow Town, Co. Carlow",850, Co. Carlow,2 
"9. Hunters Green, Pollerton, Carlow Town, Co. Carlow",1100, Co. Carlow,3 
"10. The Fairways 15, Pollerton, Co. Carlow",1050, Co. Carlow,3 
"11. 22 Grange Court, Pollerton, Carlow, Carlow Town, Co. Carlow",900, Co. Carlow,3 
"12. 140 ROCHFORT MANOR, Carlow Town, Co. Carlow",1100, Co. Carlow,4 
"13. 3A Oakview, Athy Road, Carlow Town, Co. Carlow",400, Co. Carlow,4 
"14. The Stables, Dranagh, St. Mullins, Co. Carlow",550, Co. Carlow,
"15. Longwood, Bennekerry, Carlow Town, Co. Carlow",1500, Co. Carlow,4 
"1. 24 Parkview, Ballyjamesduff, Co. Cavan",900, Co. Cavan,5 
"2. Kingscourt, Kingscourt, Co. Cavan",1200, Co. Cavan,6 
"3. Rampart View, Virginia, Co. Cavan",900, Co. Cavan,4 
"4. Rockcross, Cavan, Co. Cavan",700, Co. Cavan,4 
"5. woodview, Bailieborough, Co. Cavan",675, Co. Cavan,3
"6. The Hawthorns, Bailieborough, Co. Cavan",975, Co. Cavan,3 
"7. 53 pairc an dun, Cavan, Co. Cavan",850, Co. Cavan,4 
"8. 26 Henry St. Bailieborough, Co. Cavan, Bailieborough, Co. Cavan",600, Co. Cavan,2 
"9. 9 Fort Village, Gortnakesh, Cavan, Co. Cavan",750, Co. Cavan,3 
"10. belturbet cavan, Belturbet, Co. Cavan",800, Co. Cavan,4 
"11. Crossdoney Rd, Ballinagh, Co. Cavan",650, Co. Cavan,3 
"12. Clements town, Cootehill, Co. Cavan",685, Co. Cavan,3 
"13. 56 daisyhill manor, Ballyconnell, Co. Cavan",695, Co. Cavan,3 
"14. No 10 Cockhill View, Cavan, Co. Cavan",750, Co. Cavan,5 
"15. Ardkeen, Cavan, Co. Cavan",750, Co. Cavan,3 
"16. No 1 Amberwood, Ballyconnell Co Cavan, Ballyconnell, Co. Cavan",700, Co. Cavan,3 
"17. Ballyhugh, Ballyconnell, Co. Cavan",500, Co. Cavan,2
"1. Lakes Village, Killaloe, Co. Clare",825, Co. Clare,2
"2. Carrowmeer House, Carrowmeer, Newmarket on Fergus, Co. Clare",1000, Co. Clare,5 
"3. 41 Gleann an Oir, Shannon, Co. Clare",1000, Co. Clare,5 
"4. 34 Inis Ogra, Sixmilebridge, Co. Clare",900, Co. Clare,5 
"5. Kilnasoolagh, Newmarket on Fergus, Co. Clare",800, Co. Clare,4
"6. The Park, Ennis, Co. Clare",1350, Co. Clare,4 
"7. 49 Grianan, Westbury, Corbally, Co Limerick, Westbury, Co. Clare",1100, Co. Clare,3 
"8. Ivy Cottage, Parteen, Co. Clare",1000, Co. Clare,4 
"9. 43 Shanacloon, Shanballa, Lahinch Road, Ennis, Co. Clare",895, Co. Clare,2 
"10. 59c Ballysallagh West, Newmarket on Fergus, Co. Clare",1000, Co. Clare,3 
"11. Meadow Court, Clonroad, Ennis, Co. Clare",900, Co. Clare,3
"12. 35 Shanacloon, Shanballa, Ennis, Co. Clare",800, Co. Clare,2 
"13. Woodhaven, Ennis, Co. Clare",900, Co. Clare,3 
"14. Dun Na Mara Doonbeg, Doonbeg, Co. Clare",900, Co. Clare,4 
"15. Garrihys Cross House, Doolin, Co. Clare",800, Co. Clare,3 
"16. querrin, Kilkee, Co. Clare",600, Co. Clare,3
"17. Lahardan, Tulla, Co. Clare",1300, Co. Clare,4 
"18. 9 The Crescent, Miltown Malbay, Co. Clare",650, Co. Clare,3 
"19. Lacknashannagh, Kildysart, Co. Clare",695, Co. Clare,2 
