House,Price,County
"1. 13 Adelaide Road, Dublin 2",3200, Dublin 2
"2. The Grange, Brewery Road, Stillorgan, Co. Dublin",1950, Co. Dublin
"3. Northbank, Castleforbes Road, Dublin 1",1950, Dublin 1
"4. Vantage by Kennedy Wilson, Central Park, Leopardstown, Dublin 18",2939, Dublin 18
"5. Vantage by Kennedy Wilson, Central Park, Leopardst, Leopardstown, Dublin 18",2500, Dublin 18
"6. Northbank Apartments, Castleforbes Road, Dublin 1",2400, Dublin 1
"7. Adelaide Square, Dublin 2",3400, Dublin 2
"8. 532 The Maple,Beacon South Quarter, Sandyford, Dublin 18",2300, Dublin 18
"9. Apt. 28 Hanover Riverside, Sir John Rogerson's Qua, Dublin 2",3750, Dublin 2
"10. Sweepstakes, Ballsbridge, Dublin 4",3120, Dublin 4
"11. Smithfield Market - 16E, Smithfield, Dublin 7",2700, Dublin 7
"12. Robin Hill Sandyford Road Sandyford, Sandyford, Dublin 18",2400, Dublin 18
"13. Steeven's Gate, James Street, Dublin 8",1688, Dublin 8
"14. 46 South Central Rockbrook, Sandyford, Dublin 18",1935, Dublin 18
"15. OCallaghan Court, Grand Canal Dock, Dublin 2",2250, Dublin 2
"16. Cathedral Court, Dublin 2",3750, Dublin 2
"17. Cathedral Court, Dublin 2",2800, Dublin 2
"18. Cathedral Court, Dublin 2",2250, Dublin 2
"19. Merrion Street, Dublin 2",8850, Dublin 2
"20. Templeogue rd, Dublin 4",2200, Dublin 4
"Somerton park, Cork City, Co. Cork - House to Ren",1500, Co. Cork - House to Ren
"1. 16 Kingsbridge, South Douglas Road, Ballinlough, Co. Cork",1450, Co. Cork
"2. The Elysian, Eglinton Street, Cork City, Co. Cork",3170, Co. Cork
"3. Lee Road, Cork City, Co. Cork",1300, Co. Cork
"4. River Towers, Lee Road, Cork City, Co. Cork",2400, Co. Cork
"5. 81 Eagle Valley, Wilton, Co. Cork",1000, Co. Cork
"6. Hartys Quay, Rochestown, Co. Cork",1650, Co. Cork
"7. The Hermitage Glasheen Rd Cork, Glasheen, Co. Cork",1125, Co. Cork
"8. Watergold, Douglas, Co. Cork",1750, Co. Cork
"9. Dwyer House Douglas Road, Douglas, Co. Cork",1100, Co. Cork
"10. Harbour Heights, Passage West, Co. Cork",1450, Co. Cork
"11. The Elysian, Eglinton Street, Cork City, Co. Cork",3500, Co. Cork
"12. Apt No 1 Brook Vale, Cloghroe, Co. Cork",895, Co. Cork
"13. North Quay Place, Popes Quay, Cork City, Co. Cork",370, Co. Cork
"14. Pembroke Grove, Passage West, Co. Cork",1400, Co. Cork
"15. The Oaks, Wentworth Gardens, Bishopstown, Co. Cork",1252, Co. Cork
"16. First Floor, 19 Military Road, St. Lukes, Co. Cork",1500, Co. Cork
"17. Alfred Street, Cork City, Co. Cork",1456, Co. Cork
"18. Maryborough Ridge, Douglas, Co. Cork",1620, Co. Cork
"19. Cork City Centre, Cork City, Co. Cork",1230, Co. Cork
"20. Navillus, Togher (Cork City), Co. Cork",1200, Co. Cork
"1. 6 Ladyswell, Lough Atalia, Bohermore, Co. Galway",1350, Co. Galway
"2. Arch Mews, William St, Galway City, Co. Galway",1300, Co. Galway
"3. Sheerwater House, Galway City, Co. Galway",2200, Co. Galway
"4. Ce Na Mara, The Docks, Galway City, Co. Galway",1560, Co. Galway
"5. Bishop O\'Donnell Road, Rahoon, Co. Galway",560, Co. Galway
"6. R338, Merlin Park, Co. Galway",1200, Co. Galway
"7. Fairhill Lower, Off Domnick Street, Galway City, Co. Galway",845, Co. Galway
"8. Cuirt Seoige, Bohermore, Co. Galway",1500, Co. Galway
"9. Drum East, Drum East, Co. Galway",1300, Co. Galway
"10. 4 Arus Bun Caise, Rahoon, Co. Galway",1450, Co. Galway
"11. Altenagh House, Nun\'s Island, Nun's Island, Co. Galway",1495, Co. Galway
"12. Aras Bun Caise, Rahoon, Co. Galway",1350, Co. Galway
"13. The Cresent ,Taylors Hill, Galway City, Co. Galway",900, Co. Galway
"14. 24 Glenview Drive, Riverside, Tuam Road, Co. Galway",820, Co. Galway
"15. Rahoon, Drum East, Co. Galway",1300, Co. Galway
"16. Arus Grattan, Grattan Road, Upper Salthill, galwa, Galway City, Co. Galway",1200, Co. Galway
"17. Lacklea, Barna, Co. Galway",785, Co. Galway
"18. Rockbarton Court, Salthill, Co. Galway",1800, Co. Galway
"19. Crescent Green, Galway City, Co. Galway",1700, Co. Galway
"20. RosArd, Cappagh Road, Knocknacarra., Knocknacarra, Co. Galway",875, Co. Galway
"Somerton park, Cork City, Co. Cork - House to Ren",1500, Co. Cork - House to Ren
"1. 16 Kingsbridge, South Douglas Road, Ballinlough, Co. Cork",1450, Co. Cork
"2. The Elysian, Eglinton Street, Cork City, Co. Cork",3170, Co. Cork
"3. Lee Road, Cork City, Co. Cork",1300, Co. Cork
"4. River Towers, Lee Road, Cork City, Co. Cork",2400, Co. Cork
"5. 81 Eagle Valley, Wilton, Co. Cork",1000, Co. Cork
"6. Hartys Quay, Rochestown, Co. Cork",1650, Co. Cork
"7. The Hermitage Glasheen Rd Cork, Glasheen, Co. Cork",1125, Co. Cork
"8. Watergold, Douglas, Co. Cork",1750, Co. Cork
"9. Dwyer House Douglas Road, Douglas, Co. Cork",1100, Co. Cork
"10. Harbour Heights, Passage West, Co. Cork",1450, Co. Cork
"11. The Elysian, Eglinton Street, Cork City, Co. Cork",3500, Co. Cork
"12. Apt No 1 Brook Vale, Cloghroe, Co. Cork",895, Co. Cork
"13. North Quay Place, Popes Quay, Cork City, Co. Cork",370, Co. Cork
"14. Pembroke Grove, Passage West, Co. Cork",1400, Co. Cork
"15. The Oaks, Wentworth Gardens, Bishopstown, Co. Cork",1252, Co. Cork
"16. First Floor, 19 Military Road, St. Lukes, Co. Cork",1500, Co. Cork
"17. Alfred Street, Cork City, Co. Cork",1456, Co. Cork
"18. Maryborough Ridge, Douglas, Co. Cork",1620, Co. Cork
"19. Cork City Centre, Cork City, Co. Cork",1230, Co. Cork
"20. Navillus, Togher (Cork City), Co. Cork",1200, Co. Cork
"1. Apartment 12-09, The Arc, 2K Queens Road, Belfast, Belfast City Centre, Belfast, Co. Antrim",850970, Co. Antrim
"1. Cois Ghruda, Castletroy, Co. Limerick",1050, Co. Limerick
"2. 50 Thomas Street, Limerick City, Co. Limerick",1050, Co. Limerick
"3. Cloisters, Nr.O'Connell Monument, O'Connell Street, Limerick City, Co. Limerick",1100, Co. Limerick
"4. Thornfield, South Circular Road, Co. Limerick",1300, Co. Limerick
"5. Drominbeg, Rhebogue, Co. Limerick",1400, Co. Limerick
"6. Glendara, Dooradoyle, Co. Limerick",1100, Co. Limerick
"7. Richmond Court, Mount Kennett, Dock Road, Limerick City, Co. Limerick",950, Co. Limerick
"8. 29 Castlecourt, Clancy Strand, Limerick City, Co. Limerick",1000, Co. Limerick
"9. Alandale Hall, South Circular Road, Co. Limerick",1300, Co. Limerick
"10. Harveys Quay, Limerick City, Co. Limerick",1300, Co. Limerick
"11. 20/21 Lower Gerald Griffin St, Limerick, Limerick City, Co. Limerick",1250, Co. Limerick
"12. 67 Glantan, Golf Links Road, Castletroy, Co. Limerick",1150, Co. Limerick
"13. The Steeples, Limerick City, Co. Limerick",950, Co. Limerick
"14. Knockhill, Ennis Road, Co. Limerick",1100, Co. Limerick
"15. Wellesley Court, Ennis Road, Co. Limerick",1100, Co. Limerick
"16. Landsdowne Hall, O'Callaghan Strand, Limerick City, Co. Limerick",1300, Co. Limerick
"17. 20 Fishermans Quay, Grove Island, Corbally, Co. Limerick",1100, Co. Limerick
"18. 701 Riverpoint, Limerick City, Co. Limerick",1200, Co. Limerick
"19. 31 Pery Court, Limerick City, Co. Limerick",1050, Co. Limerick
